T_MAPCODE,vegtype_name,RevisedFVG,D3_status_assuming_90pct_severity,D3_status_assuming_80pct_severity,intact_ha,moderate_ha,severe_ha,transformed_ha,remaining_ha,total_ha,prop_intact_total,prop_moderate_total,prop_severe_total,prop_transformed_total,prop_intact_remaining,prop_moderate_remaining,prop_severe_remaining,pct_intact_remaining,pct_moderate_remaining,pct_severe_remaining
AT15,Albany Arid Thicket,Arid Thicket,LC,LC,1237.1880000000306,198.1969411764717,4.778117647058824,0.2530588235294118,1440.1630588235612,1440.4161176470907,0.8589101335667975,0.1375970032189205,0.0033171786878251,0.00017568452645668915,0.859061057301847,0.1376211811309579,0.003317761567195,85.91,13.76,0.33
AT17,Albany Mesic Thicket,Mesic Thicket,LC,LC,38901.58235294071,15813.415764706106,6690.5880000000925,10324.962352941227,61405.58611764691,71730.54847058814,0.542329358723524,0.2204558044218792,0.0932738999304243,0.1439409369241725,0.6335186228563832,0.2575240587136355,0.1089573184299812,63.35,25.75,10.9
AT18,Albany Valley Thicket,Valley Thicket,LC,LC,54785.38411764609,23843.590941176564,28317.6409411758,9314.89270588232,106946.61599999848,116261.50870588078,0.4712254702993968,0.2050858552119451,0.2435684970579039,0.080120177430754,0.5122685145797121,0.2229485310800007,0.264782954340287,51.23,22.29,26.48
AT19,Baviaans Valley Thicket,Valley Thicket,LC,LC,39171.83223529384,41486.47270588223,24907.07011764695,720.6667058823537,105565.375058823,106286.04176470535,0.3685510494596452,0.390328513669974,0.2343399914429581,0.0067804454274226,0.3710670493375935,0.3929931824972457,0.2359397681651608,37.11,39.3,23.59
AT21,Buffels Mesic Thicket,Mesic Thicket,LC,LC,24034.135058823205,4777.996588235386,3367.20247058829,4800.408352941197,32179.33411764688,36979.74247058808,0.6499270533843985,0.1292057831942874,0.0910553250409032,0.1298118383804109,0.7468810563622907,0.1484802814989006,0.1046386621388086,74.69,14.85,10.46
AT22,Buffels Valley Thicket,Valley Thicket,LC,LC,4868.19529411774,4849.156941176547,2400.856235294132,8616.005647058802,12118.208470588415,20734.21411764722,0.2347904418511016,0.2338722323239322,0.11579200550701,0.4155453203179561,0.4017256598558382,0.4001546064293024,0.1981197337148594,40.17,40.02,19.81
AT27,Escarpment Arid Thicket,Arid Thicket,VU,LC,6846.028588235365,41757.93035294018,73993.70082352876,520.09305882353,122597.65976470432,123117.75282352784,0.0556055356049926,0.339170667066953,0.6009994426196881,0.0042243547083661,0.0558414296110921,0.3406095225070701,0.6035490478818377,5.58,34.06,60.35
AT28,Escarpment Mesic Thicket,Mesic Thicket,LC,LC,35000.985882352514,34274.5404705882,26557.446705882136,6172.761176470575,95832.97305882284,102005.73423529342,0.3431276304684679,0.3360060169904585,0.2603524880731009,0.0605138644679725,0.36522905180943,0.3576487233632028,0.2771222248273673,36.52,35.76,27.71
AT29,Escarpment Valley Thicket,Valley Thicket,EN,VU,3694.777764705965,17686.358117646294,55692.19552941098,999.040235294134,77073.33141176324,78072.37164705737,0.0473250355632718,0.226537989618161,0.7133406396462413,0.0127963351723258,0.0479384723227631,0.2294744212256398,0.722587106451597,4.79,22.95,72.26
AT30,Fish Arid Thicket,Arid Thicket,LC,LC,19833.489529411567,27686.84788235252,15616.990588235358,3537.9561176470747,63137.32799999945,66675.28411764653,0.2974638922335295,0.4152490424112766,0.2342245825406555,0.0530624828145382,0.3141325450043077,0.4385178904364271,0.247349564559265,31.41,43.85,24.73
AT31,Fish Mesic Thicket,Mesic Thicket,LC,LC,13867.325999999612,7737.985058823622,1293.7591764706033,825.0564705882413,22899.07023529384,23724.126705882085,0.5845241922671655,0.3261652222125879,0.0545334794620631,0.0347771060581833,0.6055846747273697,0.3379169974725538,0.0564983278000763,60.56,33.79,5.65
AT32,Fish Valley Thicket,Valley Thicket,LC,LC,80373.0981176471,134590.3196470547,132686.0442352923,9425.432117647164,347649.4619999941,357074.89411764126,0.2250875080877781,0.3769246224370869,0.3715916364357383,0.0263962330393967,0.2311900546466211,0.3871437593280584,0.3816661860253204,23.12,38.71,38.17
AT33,Gamka Arid Thicket,Arid Thicket,VU,LC,10362.129529411804,7188.316941176392,30617.424705881866,391.497176470592,48167.871176470064,48559.368352940655,0.2133909455760928,0.1480315165743106,0.630515300020943,0.0080622378286533,0.21512533720763,0.1492346820734704,0.6356399807188995,21.51,14.92,63.56
AT34,Gamka Valley Thicket,Valley Thicket,VU,LC,1738.5381176470853,4819.0708235293205,9688.00835294137,397.1368235294185,16245.617294117776,16642.754117647193,0.1044621644565199,0.2895596960372926,0.582115693379659,0.0238624461265286,0.1070158237863067,0.296638209326414,0.5963459668872793,10.7,29.66,59.63
AT37,Gouritz Valley Thicket,Valley Thicket,LC,LC,3463.7509411765427,2620.412823529457,5656.502823529433,5279.2581176470485,11740.666588235432,17019.92470588248,0.20351153139822,0.1539614815466123,0.3323459369696515,0.3101810500855162,0.2950216595578436,0.2231911453950327,0.4817871950471237,29.5,22.32,48.18
AT49,Sundays Arid Thicket,Arid Thicket,EN,VU,40801.50352941178,85204.53423529347,428665.1601176309,5875.720941176423,554671.1978823361,560546.9188235125,0.0727887392817122,0.1520025021529375,0.764726637008945,0.0104821215564051,0.073559802068661,0.153612689031977,0.7728275088993619,7.36,15.36,77.28
AT50,Sundays Mesic Thicket,Mesic Thicket,LC,LC,34702.52223529425,13426.712117647085,4756.378235294168,4207.847647058823,52885.61258823551,57093.460235294326,0.607819566238896,0.2351707544491565,0.0833086349240722,0.0737010443878753,0.656180774636879,0.253882132786978,0.0899370925761429,65.62,25.39,8.99
AT51,Sundays Valley Thicket,Valley Thicket,LC,LC,95648.58176470568,25495.88752941167,50809.47599999994,22417.26564705882,171953.9452941173,194371.2109411761,0.4920923283934906,0.1311711101966003,0.2614043291389318,0.1153322322709771,0.5562453458168947,0.1482716054336667,0.2954830487494385,55.62,14.83,29.55
