system:index,Class,ClassId,EFG,efg_id,lat,lon,point_id,.geo
00000000000000000000_0,intact,0,AridThicket,1,-33.44656873174429,25.165000127446422,AridThicket_25.165000_-33.446569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.165000127446422,-33.44656873174429]}"
00000000000000000001_0,intact,0,AridThicket,1,-33.485465783546665,25.14146426700249,AridThicket_25.141464_-33.485466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.14146426700249,-33.485465783546665]}"
00000000000000000002_0,intact,0,AridThicket,1,-33.458246830437844,24.92928219689346,AridThicket_24.929282_-33.458247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.92928219689346,-33.458246830437844]}"
00000000000000000003_0,intact,0,AridThicket,1,-33.00253148680401,24.514889356329125,AridThicket_24.514889_-33.002531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.514889356329125,-33.00253148680401]}"
00000000000000000004_0,intact,0,AridThicket,1,-32.999567046366415,24.470422749765206,AridThicket_24.470423_-32.999567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.470422749765206,-32.999567046366415]}"
00000000000000000005_0,intact,0,ValleyThicket,2,-33.23591379761826,25.064298984096624,ValleyThicket_25.064299_-33.235914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.064298984096624,-33.23591379761826]}"
00000000000000000006_0,intact,0,ValleyThicket,2,-33.489508202325204,24.908351450773473,ValleyThicket_24.908351_-33.489508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.908351450773473,-33.489508202325204]}"
00000000000000000007_0,intact,0,AridThicket,1,-33.55463606042387,25.102207889086465,AridThicket_25.102208_-33.554636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.102207889086465,-33.55463606042387]}"
00000000000000000008_0,intact,0,AridThicket,1,-33.2158813667824,25.210544712351282,AridThicket_25.210545_-33.215881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.210544712351282,-33.2158813667824]}"
00000000000000000009_0,intact,0,AridThicket,1,-33.211030464248154,25.061065049073793,AridThicket_25.061065_-33.211030,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.061065049073793,-33.211030464248154]}"
0000000000000000000a_0,intact,0,AridThicket,1,-33.30580272672276,24.792468779122057,AridThicket_24.792469_-33.305803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.792468779122057,-33.30580272672276]}"
0000000000000000000b_0,intact,0,AridThicket,1,-33.29098052453479,24.71440518093207,AridThicket_24.714405_-33.290981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.71440518093207,-33.29098052453479]}"
0000000000000000000c_0,intact,0,AridThicket,1,-33.252981788016534,24.525489476681734,AridThicket_24.525489_-33.252982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.525489476681734,-33.252981788016534]}"
0000000000000000000d_0,intact,0,AridThicket,1,-33.30131115030216,24.346634903613538,AridThicket_24.346635_-33.301311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.346634903613538,-33.30131115030216]}"
0000000000000000000e_0,intact,0,ValleyThicket,2,-33.39473593985059,24.631939837849895,ValleyThicket_24.631940_-33.394736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.631939837849895,-33.39473593985059]}"
0000000000000000000f_0,intact,0,AridThicket,1,-33.50972029621789,25.15062708290051,AridThicket_25.150627_-33.509720,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.15062708290051,-33.50972029621789]}"
00000000000000000010_0,intact,0,AridThicket,1,-33.536939249326714,25.135176060013652,AridThicket_25.135176_-33.536939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.135176060013652,-33.536939249326714]}"
00000000000000000011_0,intact,0,AridThicket,1,-33.54475459229855,25.22851101803367,AridThicket_25.228511_-33.544755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.22851101803367,-33.54475459229855]}"
00000000000000000012_0,intact,0,ValleyThicket,2,-33.543586782429195,25.262197841188154,ValleyThicket_25.262198_-33.543587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.262197841188154,-33.543586782429195]}"
00000000000000000013_0,intact,0,ValleyThicket,2,-33.51088810608725,25.25608929725614,ValleyThicket_25.256089_-33.510888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.25608929725614,-33.51088810608725]}"
00000000000000000014_0,intact,0,ValleyThicket,2,-33.51322372582596,25.314749285309144,ValleyThicket_25.314749_-33.513224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.314749285309144,-33.51322372582596]}"
