id,y,fold,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
6,0,2,0.8737881216,0.0772719088,0.0489399696,0.8984535557,0.0782633491,0.0232830952
14,0,1,0.6787029303,0.1973296345,0.1239674352,0.7965348305,0.1595562728,0.0439088968
17,0,0,0.6868328503,0.2064203188,0.1067468308,0.7768489915,0.1714452870,0.0517057215
18,0,1,0.7645275961,0.1286717019,0.1068007020,0.8445735279,0.1109267768,0.0444996953
20,0,4,0.6392817402,0.2309412028,0.1297770570,0.7915247807,0.1784355623,0.0300396570
21,0,2,0.6545965623,0.2243732495,0.1210301882,0.8030973451,0.1547092288,0.0421934260
22,0,2,0.6055342049,0.2951506122,0.0993151829,0.8031496063,0.1574803150,0.0393700787
29,0,4,0.6048152537,0.2616871634,0.1334975829,0.7894509615,0.1794027310,0.0311463075
31,0,3,0.4564006789,0.3092808631,0.2343184580,0.5964866282,0.1887781856,0.2147351862
32,0,1,0.7211544460,0.1605298358,0.1183157182,0.8407434342,0.1136602876,0.0455962782
35,0,3,0.8091691197,0.1145460465,0.0762848338,0.8709471358,0.0981175834,0.0309352808
39,0,1,0.6964450582,0.1996205032,0.1039344386,0.7965348305,0.1595562728,0.0439088968
40,0,2,0.5275842986,0.3039709835,0.1684447179,0.7063415388,0.2187656993,0.0748927619
43,0,0,0.6708786638,0.2055276827,0.1235936535,0.7768489915,0.1714452870,0.0517057215
53,0,3,0.6653924137,0.2259185812,0.1086890051,0.8172849105,0.1386771199,0.0440379696
55,0,3,0.5513658524,0.3368244171,0.1118097305,0.7551336747,0.2034237654,0.0414425599
56,0,1,0.8187741790,0.1248956271,0.0563301939,0.8611360431,0.1123220926,0.0265418643
60,1,2,0.6322097041,0.2496682052,0.1181220907,0.8002853067,0.1569186876,0.0427960057
61,1,1,0.6323381113,0.2624772211,0.1051846676,0.7956916246,0.1602175102,0.0440908652
63,0,3,0.7962790728,0.1191654727,0.0845554546,0.8695557590,0.0979608362,0.0324834048
66,0,3,0.4207996726,0.3796316981,0.1995686293,0.5494904208,0.2699729611,0.1805366181
68,0,3,0.5441928587,0.2705870609,0.1852200804,0.7420023531,0.1423609166,0.1156367303
69,0,0,0.5734807338,0.2907538755,0.1357653906,0.7645875252,0.1700201207,0.0653923541
78,0,0,0.5766760793,0.2819557232,0.1413681975,0.7618758245,0.1694171241,0.0687070514
79,1,0,0.5353469173,0.3201564205,0.1444966623,0.7106305486,0.2192579103,0.0701115411
80,0,4,0.7425269429,0.1706449526,0.0868281045,0.8282427360,0.1564309678,0.0153262962
83,0,0,0.6289672805,0.2679182867,0.1031144328,0.7766270147,0.1726973230,0.0506756623
85,1,2,0.6790911606,0.1979552820,0.1229535574,0.8183413865,0.1390507562,0.0426078573
