row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
267,0.1490225963,0.3167031753,0.5342742284,0.0161017737,0.2348473515,0.7490508747
294,0.1985984623,0.4241827492,0.3772187885,0.0360396276,0.5307919119,0.4331684605
551,0.2559976838,0.5107081456,0.2332941706,0.1866500571,0.5719921105,0.2413578325
635,0.0889978205,0.1476748619,0.7633273176,0.0154421108,0.1293615420,0.8551963473
644,0.1929127276,0.4814062119,0.3256810606,0.0287464833,0.5917278265,0.3795256902
791,0.1866301652,0.5043608697,0.3090089652,0.0224096075,0.6384423267,0.3391480658
856,0.2582601905,0.4641757607,0.2775640488,0.2080558683,0.5229063710,0.2690377607
857,0.1941197096,0.4365818268,0.3692984636,0.0311729355,0.5747150146,0.3941120499
1191,0.2226403985,0.5624747360,0.2148848655,0.0793961030,0.6767400431,0.2438638539
1588,0.1418010124,0.4042764544,0.4539225332,0.0152293511,0.4065168021,0.5782538468
1629,0.3647999763,0.3449173272,0.2902826965,0.3582290868,0.2752109175,0.3665599958
1674,0.2022331953,0.3007927537,0.4969740510,0.0333198952,0.2149109928,0.7517691121
2067,0.0516182521,0.0843820203,0.8639997276,0.0127169727,0.1029793887,0.8843036386
2228,0.1479443610,0.3581558168,0.4938998222,0.0152976867,0.2907014746,0.6940008387
2256,0.0522793904,0.0773641095,0.8703565001,0.0129574337,0.0936537291,0.8933888372
2320,0.0348706135,0.0395143704,0.9256150161,0.0120731287,0.0413935840,0.9465332873
2387,0.2934974134,0.4152540267,0.2912485600,0.2559008435,0.4306702165,0.3134289400
2429,0.2106822549,0.4077357291,0.3815820160,0.0533312186,0.5192618860,0.4274068953
2445,0.2126268681,0.3860617463,0.4013113856,0.0529385523,0.3971548007,0.5499066471
2448,0.0906341171,0.1649163700,0.7444495129,0.0156029697,0.1293404066,0.8550566237
2518,0.1659466326,0.2923780978,0.5416752696,0.0174434852,0.1710895259,0.8114669889
2731,0.2408252585,0.4836738561,0.2755008854,0.2016567997,0.5288879938,0.2694552065
2766,0.1342806945,0.2542657218,0.6114535837,0.0174434852,0.1710895259,0.8114669889
2796,0.1626198042,0.2815688932,0.5558113025,0.0174434852,0.1710895259,0.8114669889
2819,0.2811015165,0.4094642577,0.3094342259,0.2299141691,0.4457108016,0.3243750293
2829,0.1186327141,0.2540929374,0.6272743485,0.0174434852,0.1710895259,0.8114669889
3337,0.1666842476,0.3124459246,0.5208698278,0.0161017737,0.2348473515,0.7490508747
3351,0.1767798119,0.4327337871,0.3904864010,0.0196622554,0.4650320071,0.5153057376
3642,0.5838059100,0.2749256153,0.1412684747,0.7915650714,0.1571628282,0.0512721004
3770,0.1768430121,0.4770087756,0.3461482124,0.0221047178,0.5881485221,0.3897467601
3786,0.2547425032,0.4719510376,0.2733064592,0.2069873462,0.5253566027,0.2676560511
3877,0.1992985129,0.4879209625,0.3127805246,0.0337240308,0.6078865429,0.3583894263
4044,0.2119248392,0.4920215680,0.2960535928,0.0493870364,0.6006579979,0.3499549657
4120,0.2055223286,0.4263764918,0.3681011796,0.0438327831,0.5477896655,0.4083775514
4188,0.0730616685,0.0815889475,0.8453493840,0.0142449334,0.1018614382,0.8838936284
4405,0.2236967087,0.2805777788,0.4957255125,0.0984869355,0.1602591785,0.7412538860
4428,0.1990569353,0.4600194624,0.3409236023,0.0357815707,0.5839632741,0.3802551552
4568,0.3899661005,0.3510887623,0.2589451373,0.4164244931,0.2835652501,0.3000102568
4776,0.0395995702,0.0484678098,0.9119326201,0.0123639544,0.0413813986,0.9462546470
4879,0.1574239558,0.3688237314,0.4737523128,0.0158157492,0.3407708181,0.6434134327
5102,0.1145213461,0.2234167291,0.6620619248,0.0174434852,0.1710895259,0.8114669889
5234,0.1709322035,0.3428856134,0.4861821830,0.0175491329,0.2559573527,0.7264935144
5259,0.0636013746,0.1113961935,0.8250024319,0.0132675605,0.1134741043,0.8732583352
5528,0.1733767513,0.1927009196,0.6339223290,0.0175267810,0.1671313286,0.8153418905
5707,0.1995833963,0.5530384183,0.2473781854,0.0322449843,0.6955591243,0.2721958914
6228,0.1697296028,0.3032523944,0.5270180028,0.0164256884,0.2194549990,0.7641193126
6244,0.1807556274,0.4336312647,0.3856131079,0.0231793457,0.5378732545,0.4389473998
6336,0.1426679662,0.3299438108,0.5273882229,0.0161017737,0.2348473515,0.7490508747
6433,0.2771995068,0.3972235918,0.3255769014,0.2255573364,0.4072563019,0.3671863616
7167,0.5128259812,0.2770428442,0.2101311746,0.6521654690,0.1351718780,0.2126626529
7172,0.2653234899,0.4015215337,0.3331549764,0.2055604479,0.4598062649,0.3346332872
7467,0.2547071240,0.5006194636,0.2446734124,0.1866500571,0.5719921105,0.2413578325
7506,0.3150498020,0.4891455842,0.1958046138,0.2855884736,0.5161517596,0.1982597668
7566,0.1964652956,0.4538458518,0.3496888526,0.0326954632,0.5756928671,0.3916116697
8113,0.4487642050,0.3574177623,0.1938180327,0.5617018145,0.2630792594,0.1752189261
8177,0.3135389388,0.4631761312,0.2232849300,0.2864129137,0.4711686327,0.2424184536
8553,0.1625397801,0.3524150550,0.4850451648,0.0175491329,0.2559573527,0.7264935144
8959,0.3373056550,0.3919290783,0.2707652667,0.3302277433,0.3902691511,0.2795031056
8960,0.1903748569,0.4331766496,0.3764484935,0.0285392821,0.5349218771,0.4365388408
9110,0.5613933802,0.2725156248,0.1660909951,0.7636239162,0.1545966804,0.0817794034
9181,0.1021353289,0.2039333999,0.6939312712,0.0165953094,0.1582490307,0.8251556600
9244,0.4226480785,0.3413117877,0.2360401338,0.5747781592,0.2066195997,0.2186022411
9254,0.3849329352,0.3528487980,0.2622182667,0.4164244931,0.2835652501,0.3000102568
9369,0.4157798290,0.2965166271,0.2877035439,0.5560371428,0.1777344030,0.2662284542
9553,0.3607611358,0.2981812358,0.3410576284,0.3694969209,0.2524132066,0.3780898725
9818,0.2913192126,0.3562380565,0.3524427309,0.2887204070,0.3459194441,0.3653601489
10045,0.3123444021,0.3494295478,0.3382260501,0.3489744725,0.2791795780,0.3718459495
10206,0.2188861221,0.5401040316,0.2410098463,0.0675789985,0.6557293833,0.2766916182
10605,0.0598969346,0.1076039817,0.8324990838,0.0130967718,0.1134937450,0.8734094832
10795,0.1987137675,0.3227786470,0.4785075855,0.0316203112,0.2522913968,0.7160882920
10887,0.2041730166,0.5181289392,0.2776980441,0.0397799774,0.6752791735,0.2849408491
10959,0.1706706285,0.4546063542,0.3747230172,0.0190561077,0.5622598803,0.4186840120
11120,0.2295906246,0.4155930877,0.3548162878,0.1653997206,0.4763922763,0.3582080031
11254,0.2231301848,0.4289670651,0.3479027502,0.1136829456,0.5077724003,0.3785446541
11307,0.2764977001,0.3616755713,0.3618267286,0.2228423304,0.4023542077,0.3748034619
11380,0.2257751822,0.4254858196,0.3487389982,0.1136829456,0.5077724003,0.3785446541
11518,0.2073183358,0.4690859914,0.3235956728,0.0445846560,0.5820785564,0.3733367876
11683,0.2658099830,0.3839259446,0.3502640724,0.2228423304,0.4023542077,0.3748034619
11733,0.2172245319,0.3666545937,0.4161208744,0.0612163014,0.3936834865,0.5451002121
11940,0.1703849137,0.3757574856,0.4538576007,0.0165245573,0.3560430084,0.6274324343
11994,0.1505810067,0.2509256974,0.5984932959,0.0174434852,0.1710895259,0.8114669889
12092,0.1321360340,0.3980915904,0.4697723757,0.0158157492,0.3407708181,0.6434134327
12219,0.1842416227,0.4954615235,0.3202968538,0.0215148163,0.6390266947,0.3394584890
12223,0.2005405605,0.4603521892,0.3391072503,0.0357815707,0.5839632741,0.3802551552
12245,0.4233728647,0.3032447398,0.2733823955,0.5849264800,0.1926116234,0.2224618966
12276,0.1571168131,0.3816797974,0.4612033894,0.0163787902,0.3529022661,0.6307189437
12344,0.2293396959,0.5401477379,0.2305125663,0.1512619658,0.5968789494,0.2518590848
12392,0.2234192673,0.5611715400,0.2154091927,0.0937699952,0.6661737307,0.2400562741
12658,0.3242725529,0.4712055168,0.2045219304,0.2850868350,0.4736170978,0.2412960672
12795,0.2298168127,0.5180468040,0.2521363832,0.1512619658,0.5968789494,0.2518590848
12897,0.0346616367,0.0427880783,0.9225502851,0.0120731287,0.0413935840,0.9465332873
12919,0.1383691857,0.5843865188,0.2772442955,0.0168767016,0.7226983348,0.2604249636
13240,0.1396807432,0.4392054379,0.4211138189,0.0166384268,0.4869818390,0.4963797341
13611,0.1710578676,0.3814946768,0.4474474556,0.0174851288,0.3767397651,0.6057751061
13636,0.2614289522,0.3951172233,0.3434538245,0.2228423304,0.4023542077,0.3748034619
13714,0.7480756585,0.1473928828,0.1045314587,0.8381479012,0.1252426955,0.0366094033
13732,0.7203196991,0.1764307644,0.1032495365,0.8358372483,0.1275751590,0.0365875928
