complexity,loss,equation,score,sympy_format,lambda_format
1,0.09501616,x0,0.0,x0,PySRFunction(X=>x0)
3,0.0935489,x0 - 0.038304944,0.00778134408221468,x0 - 1*0.038304944,PySRFunction(X=>x0 - 1*0.038304944)
4,0.09067149,square(x0 - -0.13611296),0.031241319490701882,(x0 - 1*(-0.13611296))**2,PySRFunction(X=>(x0 - 1*(-0.13611296))**2)
5,0.08752629,(1.1365379 - x2) * x0,0.03530376936408999,x0*(1.1365379 - x2),PySRFunction(X=>x0*(1.1365379 - x2))
6,0.08533661,"min(square(0.117362365 / x2), x0)",0.025335651866466226,"Piecewise((0.0137739247183932/x2**2, x0 > 0.0137739247183932/x2**2), (x0, True))","PySRFunction(X=>Piecewise((0.0137739247183932/x2**2, x0 > 0.0137739247183932/x2**2), (x0, True)))"
7,0.0823199,"min(1.1245421, 0.14659716 / x2) * x0",0.03599067675831821,"x0*Piecewise((1.1245421, 0.14659716/x2 > 1.1245421), (0.14659716/x2, True))","PySRFunction(X=>x0*Piecewise((1.1245421, 0.14659716/x2 > 1.1245421), (0.14659716/x2, True)))"
8,0.08166392,"min(square(0.18381234 / x2), 1.1108563) * x0",0.008000588095467718,"x0*Piecewise((0.0337869763362756/x2**2, 0.0337869763362756/x2**2 < 1.1108563), (1.1108563, True))","PySRFunction(X=>x0*Piecewise((0.0337869763362756/x2**2, 0.0337869763362756/x2**2 < 1.1108563), (1.1108563, True)))"
9,0.08140314,"min(x1 * (x0 / x2), 1.1321253) * x0",0.0031984414548899527,"x0*Piecewise((x0*x1/x2, x0*x1/x2 < 1.1321253), (1.1321253, True))","PySRFunction(X=>x0*Piecewise((x0*x1/x2, x0*x1/x2 < 1.1321253), (1.1321253, True)))"
10,0.08100772,"min(square(x0) * (x1 / x2), x0) * 1.1250293",0.004869388430241628,"Piecewise((x0**2*x1/x2, x0 > x0**2*x1/x2), (x0, True))*1.1250293","PySRFunction(X=>Piecewise((x0**2*x1/x2, x0 > x0**2*x1/x2), (x0, True))*1.1250293)"
11,0.08100231,"(x0 * min(1.0124058, x1 * (x0 / x2))) * 1.1131066",6.678598852212908e-05,"x0*Piecewise((1.0124058, x0*x1/x2 > 1.0124058), (x0*x1/x2, True))*1.1131066","PySRFunction(X=>x0*Piecewise((1.0124058, x0*x1/x2 > 1.0124058), (x0*x1/x2, True))*1.1131066)"
12,0.080737315,"(min(0.69969976, square(x1 * (x0 / x2))) * 1.5988977) * x0",0.003276812804720055,"Piecewise((0.69969976, x0**2*x1**2/x2**2 > 0.69969976), (x0**2*x1**2/x2**2, True))*1.5988977*x0","PySRFunction(X=>Piecewise((0.69969976, x0**2*x1**2/x2**2 > 0.69969976), (x0**2*x1**2/x2**2, True))*1.5988977*x0)"
13,0.08064877,"min(x0, square(max(x0, square(x1 * (x0 / x2))))) * 1.1250293",0.0010973066096080268,"Piecewise((x0, ITE(x0 < x0**2*x1**2/x2**2, x0 < x0**4*x1**4/x2**4, x0 < x0**2)), (Piecewise((x0**4*x1**4/x2**4, x0 < x0**2*x1**2/x2**2), (x0**2, True)), True))*1.1250293","PySRFunction(X=>Piecewise((x0, ITE(x0 < x0**2*x1**2/x2**2, x0 < x0**4*x1**4/x2**4, x0 < x0**2)), (Piecewise((x0**4*x1**4/x2**4, x0 < x0**2*x1**2/x2**2), (x0**2, True)), True))*1.1250293)"
14,0.080498256,"min(0.9998048, x0 * square(-0.1659821 - min(0.90322727, x0 * (x1 / x2))))",0.0018680337764202032,"Piecewise((0.9998048, ITE(x0*x1/x2 > 0.90322727, 1.1432086768958*x0 > 0.9998048, x0*(-x0*x1/x2 - 0.1659821)**2 > 0.9998048)), (x0*(-Piecewise((0.90322727, x0*x1/x2 > 0.90322727), (x0*x1/x2, True)) - 0.1659821)**2, True))","PySRFunction(X=>Piecewise((0.9998048, ITE(x0*x1/x2 > 0.90322727, 1.1432086768958*x0 > 0.9998048, x0*(-x0*x1/x2 - 0.1659821)**2 > 0.9998048)), (x0*(-Piecewise((0.90322727, x0*x1/x2 > 0.90322727), (x0*x1/x2, True)) - 0.1659821)**2, True)))"
16,0.08049311,"min(0.9346179, x0 * square(min(x1 * (x0 / x2), 0.90029424) - -0.13373242)) * 1.0701412",3.1964447098072047e-05,"Piecewise((0.9346179, ITE(x0*x1/x2 < 0.90029424, x0*(x0*x1/x2 + 0.13373242)**2 > 0.9346179, 1.06921113359076*x0 > 0.9346179)), (x0*(Piecewise((x0*x1/x2, x0*x1/x2 < 0.90029424), (0.90029424, True)) - 1*(-0.13373242))**2, True))*1.0701412","PySRFunction(X=>Piecewise((0.9346179, ITE(x0*x1/x2 < 0.90029424, x0*(x0*x1/x2 + 0.13373242)**2 > 0.9346179, 1.06921113359076*x0 > 0.9346179)), (x0*(Piecewise((x0*x1/x2, x0*x1/x2 < 0.90029424), (0.90029424, True)) - 1*(-0.13373242))**2, True))*1.0701412)"
