id,source,round,mapcode,vegtype,efg,efg_id,cls2022,cls2022_name,cls2025,cls2025_name,stratum,lon,lat
0,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.874674,-33.326644
1,existing,1,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,25.296783,-32.58715
2,existing,1,AT29,Escarpment Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT29_intact,25.048848,-32.422489
3,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.784124,-33.528495
4,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.120358,-33.247143
5,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.675692,-33.384315
6,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.88734,-33.125601
7,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.951749,-33.158479
8,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.38922,-33.327722
9,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.768668,-33.404258
10,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.660331,-33.329608
11,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,24.848883,-33.74975
12,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT32_intact,26.642639,-32.660723
13,existing,1,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,24.772347,-32.926444
14,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.941778,-33.500468
15,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,25.839276,-33.346047
16,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.774961,-33.549246
17,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.746664,-33.079787
18,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.516421,-33.784784
19,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.6288,-33.380812
20,existing,1,AT21,Buffels Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT21_intact,27.685583,-32.993009
21,existing,1,AT33,Gamka Arid Thicket,AridThicket,1,0,intact,0,intact,AT33_intact,21.742688,-33.456001
22,existing,1,AT34,Gamka Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT34_intact,22.276018,-33.513134
23,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.463061,-33.453576
24,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.78062,-33.55787
25,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.563677,-32.994357
26,existing,1,AT33,Gamka Arid Thicket,AridThicket,1,0,intact,0,intact,AT33_intact,21.621955,-33.457079
27,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,25.893983,-32.514926
28,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.80218,-33.048795
29,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.075892,-33.28056
30,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.459288,-33.738162
31,existing,1,,,,,0,intact,0,intact,outside_intact,25.531782,-33.339849
32,existing,1,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,26.811882,-32.531365
33,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.476805,-33.600181
34,existing,1,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,25.832538,-33.321523
35,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.910517,-33.491574
36,existing,1,AT19,Baviaans Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT19_intact,24.687186,-33.591287
37,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.439076,-33.443604
38,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.563583,-33.589401
39,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.387428,-33.02993
40,existing,1,AT21,Buffels Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT21_intact,27.770474,-32.870659
41,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.422192,-33.53631
42,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.899912,-33.671058
43,existing,1,,,,,0,intact,0,intact,outside_intact,24.153048,-33.55248
44,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.313047,-33.018342
45,existing,1,AT19,Baviaans Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT19_intact,24.32283,-33.751637
46,existing,1,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,26.759061,-32.503607
47,existing,1,AT30,Fish Arid Thicket,AridThicket,1,0,intact,0,intact,AT30_intact,26.864433,-33.188393
48,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.698155,-32.617603
49,existing,1,AT30,Fish Arid Thicket,AridThicket,1,0,intact,0,intact,AT30_intact,26.692765,-33.225314
50,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.756096,-32.959592
51,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT32_intact,25.908536,-32.393114
52,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.532955,-32.993818
53,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.466565,-33.849733
54,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.364521,-33.053646
55,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.383924,-32.68336
56,existing,1,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,25.141554,-32.904615
57,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,24.594211,-33.661625
58,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.771632,-33.678334
59,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,24.677484,-33.78694
60,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.693304,-33.021845
61,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.767954,-33.026427
62,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.902971,-33.494
63,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.54903,-33.372188
64,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.495131,-33.389436
65,existing,1,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.705701,-32.633234
66,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.710282,-33.607996
67,existing,1,AT19,Baviaans Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT19_intact,24.412841,-33.646264
68,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT51_intact,25.814482,-33.48322
69,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.805319,-33.597486
70,existing,1,AT33,Gamka Arid Thicket,AridThicket,1,0,intact,0,intact,AT33_intact,22.818511,-33.301581
71,existing,1,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,23.634271,-33.062
72,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.328853,-33.348742
73,existing,1,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.63985,-33.396982
74,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.480039,-33.633867
75,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,24.612536,-33.777778
76,existing,1,AT29,Escarpment Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT29_intact,24.980396,-32.352151
77,existing,1,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.605893,-33.435789
78,existing,1,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,25.804511,-33.303467
79,existing,1,AT30,Fish Arid Thicket,AridThicket,1,0,intact,0,intact,AT30_intact,26.788166,-33.146621
80,existing,1,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,25.123228,-33.225044
81,existing,1,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,23.860377,-33.21103
82,existing,1,AT22,Buffels Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT22_intact,27.116949,-32.697913
