id,source,mapcode,vegtype,efg,efg_id,cls2022,cls2022_name,cls2025,cls2025_name,stratum,lon,lat
0,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.874673776182696,-33.326643641314334
1,existing,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,25.29678297962676,-32.587150499427146
2,existing,AT29,Escarpment Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT29_intact,25.04884796120977,-32.42248930784804
3,existing,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.78412359554345,-33.52849508565599
4,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.120358432107533,-33.24714273866976
5,existing,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.675692366468372,-33.38431548255481
6,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.887340021688782,-33.12560068072839
7,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.951749227560153,-33.15847902012716
8,existing,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.389219622362656,-33.32772161965528
9,existing,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.76866799837474,-33.40425808186227
10,existing,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.660331175109928,-33.32960808175193
11,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,24.848882978964763,-33.74975014013463
12,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT32_intact,26.642638938294624,-32.66072252119653
13,existing,AT49,Sundays Arid Thicket,AridThicket,1,0,intact,0,intact,AT49_intact,24.772346516757782,-32.92644418223909
14,existing,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.941777927906426,-33.500467648791464
15,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,25.839275579706538,-33.34604725145132
16,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.77496077964543,-33.54924616871915
17,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.746663848195666,-33.07978660123829
18,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.51642106659398,-33.78478443621529
19,existing,AT50,Sundays Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT50_intact,25.62880030863733,-33.380812052946744
20,existing,AT21,Buffels Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT21_intact,27.68558298315739,-32.99300934479235
21,existing,AT33,Gamka Arid Thicket,AridThicket,1,0,intact,0,intact,AT33_intact,21.742688389536283,-33.45600104222755
22,existing,AT34,Gamka Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT34_intact,22.276018173718043,-33.513133894297546
23,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.46306113871728,-33.453575590960426
24,existing,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.78062016593538,-33.5578699954467
25,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.563677024820517,-32.994356817718526
26,existing,AT33,Gamka Arid Thicket,AridThicket,1,0,intact,0,intact,AT33_intact,21.62195481535062,-33.45707902056849
27,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,25.893982980509417,-32.51492595058394
28,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.80217973275425,-33.04879472393617
29,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,26.075891825543618,-33.28056006723901
30,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.45928821452398,-33.73816187296949
31,existing,,,,,0,intact,0,intact,,25.531782257952425,-33.339848875990896
32,existing,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,26.811881537822742,-32.531365120283326
33,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.47680536256431,-33.600180645328734
34,existing,AT18,Albany Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT18_intact,25.83253821507564,-33.32152324419486
35,existing,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.910516556019065,-33.49157432747868
36,existing,AT19,Baviaans Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT19_intact,24.68718622782325,-33.59128732401595
37,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.439076120631288,-33.4436042913067
38,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.563582619010255,-33.589400861919295
39,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.38742756607627,-33.02993010296966
40,existing,AT21,Buffels Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT21_intact,27.770473777506684,-32.87065880309527
41,existing,AT17,Albany Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT17_intact,26.422192367571693,-33.536310428627836
42,existing,AT51,Sundays Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT51_intact,25.899911861384606,-33.67105772124576
43,existing,,,,,0,intact,0,intact,,24.153047959885782,-33.552480103741985
44,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.31304706055117,-33.01834183580452
45,existing,AT19,Baviaans Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT19_intact,24.322829548584373,-33.75163660223128
46,existing,AT28,Escarpment Mesic Thicket,MesicThicket,3,0,intact,0,intact,AT28_intact,26.759060599116516,-32.50360717800403
47,existing,AT30,Fish Arid Thicket,AridThicket,1,0,intact,0,intact,AT30_intact,26.864432981943736,-33.18839291908834
48,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.698154822853212,-32.6176033875588
49,existing,AT30,Fish Arid Thicket,AridThicket,1,0,intact,0,intact,AT30_intact,26.692764931148496,-33.22531367726565
50,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.756096158678922,-32.9595920162231
51,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,1,moderate,AT32_intact,25.908535688112153,-32.39311439805733
52,existing,AT32,Fish Valley Thicket,ValleyThicket,2,0,intact,0,intact,AT32_intact,26.532954642103633,-32.99381782854805
