system_index,Class,ClassId,EFG,efg_id,lat,lon,point_id,F_geo
00000000000000000000_0,intact,0,AridThicket,1,-33.44656873,25.16500013,AridThicket_25.165000_-33.446569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.165000127446422,-33.44656873174429]}"
00000000000000000001_0,intact,0,AridThicket,1,-33.48546578,25.14146427,AridThicket_25.141464_-33.485466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.14146426700249,-33.485465783546665]}"
00000000000000000002_0,intact,0,AridThicket,1,-33.45824683,24.9292822,AridThicket_24.929282_-33.458247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.92928219689346,-33.458246830437844]}"
00000000000000000003_0,intact,0,AridThicket,1,-33.00253149,24.51488936,AridThicket_24.514889_-33.002531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.514889356329125,-33.00253148680401]}"
00000000000000000004_0,intact,0,AridThicket,1,-32.99956705,24.47042275,AridThicket_24.470423_-32.999567,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.470422749765206,-32.999567046366415]}"
00000000000000000005_0,intact,0,ValleyThicket,2,-33.2359138,25.06429898,ValleyThicket_25.064299_-33.235914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.064298984096624,-33.23591379761826]}"
00000000000000000006_0,intact,0,ValleyThicket,2,-33.4895082,24.90835145,ValleyThicket_24.908351_-33.489508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.908351450773473,-33.489508202325204]}"
00000000000000000007_0,intact,0,AridThicket,1,-33.55463606,25.10220789,AridThicket_25.102208_-33.554636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.102207889086465,-33.55463606042387]}"
00000000000000000008_0,intact,0,AridThicket,1,-33.21588137,25.21054471,AridThicket_25.210545_-33.215881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.210544712351282,-33.2158813667824]}"
00000000000000000009_0,intact,0,AridThicket,1,-33.21103046,25.06106505,AridThicket_25.061065_-33.211030,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.061065049073793,-33.211030464248154]}"
0000000000000000000a_0,intact,0,AridThicket,1,-33.30580273,24.79246878,AridThicket_24.792469_-33.305803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.792468779122057,-33.30580272672276]}"
0000000000000000000b_0,intact,0,AridThicket,1,-33.29098052,24.71440518,AridThicket_24.714405_-33.290981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.71440518093207,-33.29098052453479]}"
0000000000000000000c_0,intact,0,AridThicket,1,-33.25298179,24.52548948,AridThicket_24.525489_-33.252982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.525489476681734,-33.252981788016534]}"
0000000000000000000d_0,intact,0,AridThicket,1,-33.30131115,24.3466349,AridThicket_24.346635_-33.301311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.346634903613538,-33.30131115030216]}"
0000000000000000000e_0,intact,0,ValleyThicket,2,-33.39473594,24.63193984,ValleyThicket_24.631940_-33.394736,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.631939837849895,-33.39473593985059]}"
0000000000000000000f_0,intact,0,AridThicket,1,-33.5097203,25.15062708,AridThicket_25.150627_-33.509720,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.15062708290051,-33.50972029621789]}"
00000000000000000010_0,intact,0,AridThicket,1,-33.53693925,25.13517606,AridThicket_25.135176_-33.536939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.135176060013652,-33.536939249326714]}"
00000000000000000011_0,intact,0,AridThicket,1,-33.54475459,25.22851102,AridThicket_25.228511_-33.544755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.22851101803367,-33.54475459229855]}"
00000000000000000012_0,intact,0,ValleyThicket,2,-33.54358678,25.26219784,ValleyThicket_25.262198_-33.543587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.262197841188154,-33.543586782429195]}"
00000000000000000013_0,intact,0,ValleyThicket,2,-33.51088811,25.2560893,ValleyThicket_25.256089_-33.510888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.25608929725614,-33.51088810608725]}"
00000000000000000014_0,intact,0,ValleyThicket,2,-33.51322373,25.31474929,ValleyThicket_25.314749_-33.513224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.314749285309144,-33.51322372582596]}"
00000000000000000015_0,intact,0,AridThicket,1,-33.45609087,25.36397696,AridThicket_25.363977_-33.456091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.363976962878894,-33.456090873755954]}"
00000000000000000016_0,intact,0,AridThicket,1,-33.46031296,25.38481788,AridThicket_25.384818_-33.460313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.384817877470468,-33.46031295559132]}"
00000000000000000017_0,intact,0,ValleyThicket,2,-33.47145206,25.42093015,ValleyThicket_25.420930_-33.471452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.420930151892073,-33.4714520651144]}"
00000000000000000018_0,intact,0,ValleyThicket,2,-33.53154936,25.44275921,ValleyThicket_25.442759_-33.531549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.442759213296178,-33.531549357622]}"
00000000000000000019_0,intact,0,AridThicket,1,-33.15353829,24.16409724,AridThicket_24.164097_-33.153538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.16409723788045,-33.1535382860645]}"
0000000000000000001a_0,intact,0,AridThicket,1,-33.13826693,24.18179405,AridThicket_24.181794_-33.138267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.181794048977604,-33.13826692623447]}"
0000000000000000001b_0,intact,0,AridThicket,1,-33.10511909,24.23335735,AridThicket_24.233357_-33.105119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.233357346286066,-33.10511909225046]}"
0000000000000000001c_0,intact,0,AridThicket,1,-32.80544111,24.48722125,AridThicket_24.487221_-32.805441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.48722124557824,-32.805441113468184]}"
0000000000000000001d_0,intact,0,AridThicket,1,-32.80642926,24.50015699,AridThicket_24.500157_-32.806429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.500156985669562,-32.806429260280716]}"
0000000000000000001e_0,intact,0,ValleyThicket,2,-33.56999725,25.77477654,ValleyThicket_25.774777_-33.569997,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.774776542306753,-33.56999725178231]}"
0000000000000000001f_0,intact,0,AridThicket,1,-33.05598125,24.04336366,AridThicket_24.043364_-33.055981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.043363663694787,-33.05598124620912]}"
00000000000000000020_0,intact,0,AridThicket,1,-32.98636181,24.74288178,AridThicket_24.742882_-32.986362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.742881775438658,-32.98636181168986]}"
00000000000000000021_0,intact,0,AridThicket,1,-32.98564316,24.74755302,AridThicket_24.747553_-32.985643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.74755301491608,-32.98564315946256]}"
00000000000000000024_0,intact,0,AridThicket,1,-33.11518022,25.40422149,AridThicket_25.404221_-33.115180,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.40422148760745,-33.115180223432596]}"
